chromosome	start	end	gene
1	11868	12227	DDX11L1
1	12612	12721	DDX11L1
1	13220	14409	DDX11L1
1	860259	860328	SAMD11
1	860529	860569	SAMD11
1	861117	861180	SAMD11
1	861301	861393	SAMD11
1	865534	865716	SAMD11
1	866418	866469	SAMD11
1	871151	871276	SAMD11
1	874419	874509	SAMD11
1	874654	874840	SAMD11
1	875725	875842	SAMD11
1	876523	876686	SAMD11
1	877515	877631	SAMD11
1	877789	877868	SAMD11
1	877938	878438	SAMD11
1	878632	878757	SAMD11
1	879077	879955	SAMD11
1	1138887	1139348	TNFRSF18
1	1139413	1139616	TNFRSF18
1	1139778	1139866	TNFRSF18
1	1140749	1141060	TNFRSF18
1	1141764	1142071	TNFRSF18
1	229761980	229762103	URB2
1	229763367	229763506	URB2
1	229768015	229768192	URB2
1	229770663	229773994	URB2
1	229779279	229779440	URB2
1	229781605	229781716	URB2
1	229783256	229783499	URB2
1	229786593	229787069	URB2
1	229789995	229790135	URB2
1	229794846	229795946	URB2
11	1244295	1244423	MUC5B
11	1246910	1246967	MUC5B
11	1247434	1247506	MUC5B
11	1247844	1248106	MUC5B
11	1248260	1248375	MUC5B
11	1248537	1248628	MUC5B
11	1248904	1249011	MUC5B
11	1249749	1249995	MUC5B
11	1250399	1250534	MUC5B
11	1250919	1251037	MUC5B
11	1251234	1251373	MUC5B
11	1251719	1251830	MUC5B
11	1252165	1252235	MUC5B
11	1252652	1252790	MUC5B
11	1253225	1253390	MUC5B
11	1253679	1253774	MUC5B
11	1253873	1254000	MUC5B
11	1254242	1254498	MUC5B
11	1255022	1255078	MUC5B
11	1255434	1255535	MUC5B
11	1255758	1255910	MUC5B
11	1256314	1256453	MUC5B
11	1256532	1256643	MUC5B
11	1257615	1257792	MUC5B
11	1258154	1258394	MUC5B
11	1260100	1260257	MUC5B
11	1260667	1260796	MUC5B
11	1261028	1261173	MUC5B
11	1261274	1261318	MUC5B
11	1261407	1261605	MUC5B
11	1262080	1272973	MUC5B
11	1273572	1273754	MUC5B
11	1274038	1274210	MUC5B
11	1275321	1275581	MUC5B
11	1275923	1276110	MUC5B
11	1276270	1276496	MUC5B
11	1276612	1276788	MUC5B
11	1277385	1277455	MUC5B
11	1277900	1278001	MUC5B
11	1278469	1278501	MUC5B
11	1278759	1278940	MUC5B
11	1279328	1279433	MUC5B
11	1279559	1279597	MUC5B
11	1280171	1280291	MUC5B
11	1280752	1281072	MUC5B
11	1281192	1281315	MUC5B
11	1281580	1281623	MUC5B
11	1281855	1281958	MUC5B
11	1282618	1283406	MUC5B
17	41196311	41197819	BRCA1
17	41199659	41199720	BRCA1
17	41201137	41201211	BRCA1
17	41202078	41202207	BRCA1
17	41203079	41203134	BRCA1
17	41209068	41209152	BRCA1
17	41215349	41215390	BRCA1
17	41215890	41215968	BRCA1
17	41219624	41219712	BRCA1
17	41222944	41223255	BRCA1
17	41226347	41226538	BRCA1
17	41228504	41228631	BRCA1
17	41231350	41231416	BRCA1
17	41234420	41234592	BRCA1
17	41242960	41243049	BRCA1
17	41243451	41246877	BRCA1
17	41247862	41247939	BRCA1
17	41249260	41249306	BRCA1
17	41251791	41251897	BRCA1
17	41256138	41256278	BRCA1
17	41256884	41256973	BRCA1
17	41258472	41258550	BRCA1
17	41267742	41267796	BRCA1
17	41276033	41276132	BRCA1
17	41277198	41277500	BRCA1
2	179385909	179386028	TTN-AS1
2	179386519	179386895	TTN-AS1
2	179387553	179387587	TTN-AS1
2	179387741	179388363	TTN-AS1
2	179388630	179388950	TTN-AS1
2	179390715	179392104	TTN,TTN-AS1
2	179392172	179392475	TTN
2	179392719	179393210	TTN,TTN-AS1
2	179393254	179394063	TTN,TTN-AS1
2	179394686	179394843	TTN
2	179394967	179400576	TTN,TTN-AS1
2	179400708	179401302	TTN,TTN-AS1
2	179401605	179401970	TTN,TTN-AS1
2	179402068	179402644	TTN,TTN-AS1
2	179402956	179403086	TTN-AS1
2	179403266	179404693	TTN,TTN-AS1
2	179404794	179405097	TTN,TTN-AS1
2	179406008	179406311	TTN
2	179406473	179407290	TTN,TTN-AS1
2	179407388	179407722	TTN,TTN-AS1
2	179407795	179408389	TTN,TTN-AS1
2	179408560	179408842	TTN
2	179408927	179409233	TTN
2	179410114	179410420	TTN
2	179410546	179410843	TTN
2	179410938	179411229	TTN
2	179411326	179411632	TTN
2	179411729	179412032	TTN
2	179412133	179414200	TTN
2	179414296	179414596	TTN
2	179414712	179415000	TTN
2	179415693	179415987	TTN
2	179416356	179418123	TTN
2	179418228	179418534	TTN
2	179418640	179418943	TTN
2	179419179	179419479	TTN
2	179419591	179419879	TTN
2	179421574	179421871	TTN
2	179421979	179422282	TTN
2	179422374	179422962	TTN
2	179423067	179423364	TTN
2	179424037	179441143	TTN,TTN-AS1
2	179441255	179441558	TTN
2	179441649	179442237	TTN
2	179442328	179442625	TTN
2	179442714	179442912	TTN
2	179443337	179443442	TTN
2	179443532	179444120	TTN
2	179444287	179444575	TTN
2	179444665	179444956	TTN
2	179445048	179445336	TTN
2	179446225	179446531	TTN
2	179446632	179446935	TTN
2	179447022	179447433	TTN,TTN-AS1
2	179447666	179447954	TTN,TTN-AS1
2	179448250	179448648	TTN,TTN-AS1
2	179449002	179449720	TTN,TTN-AS1
2	179449798	179450074	TTN
2	179451231	179451568	TTN,TTN-AS1
2	179451844	179452144	TTN
2	179452242	179452527	TTN
2	179452625	179452946	TTN
2	179453264	179456231	TTN,TTN-AS1
2	179456325	179456619	TTN
2	179456704	179457004	TTN
2	179457105	179457387	TTN
2	179457501	179457810	TTN
2	179457899	179458202	TTN
2	179458294	179458594	TTN
2	179458687	179458969	TTN
2	179459070	179459373	TTN
2	179460233	179460536	TTN
2	179462264	179462627	TTN,TTN-AS1
2	179462634	179462785	TTN
2	179463232	179463400	TTN,TTN-AS1
2	179463474	179463789	TTN
2	179463872	179464172	TTN
2	179464280	179464577	TTN,TTN-AS1
2	179465202	179465394	TTN-AS1
2	179465580	179465898	TTN
2	179465991	179466291	TTN
2	179466384	179466514	TTN
2	179466608	179466641	TTN
2	179466728	179466877	TTN
2	179467008	179467317	TTN
2	179468602	179469032	TTN
2	179469434	179470132	TTN,TTN-AS1
2	179470140	179470440	TTN
2	179471747	179472041	TTN
2	179472127	179472412	TTN
2	179472511	179472808	TTN
2	179472893	179473204	TTN,TTN-AS1
2	179473332	179473635	TTN
2	179473934	179474297	TTN
2	179474410	179474713	TTN
2	179474816	179475116	TTN
2	179475719	179475998	TTN
2	179476098	179476404	TTN
2	179476484	179476681	TTN
2	179476783	179476889	TTN
2	179477003	179477303	TTN
2	179477499	179477799	TTN
2	179477887	179478003	TTN
2	179478477	179478664	TTN
2	179478761	179479531	TTN,TTN-AS1
2	179479573	179479695	TTN
2	179480033	179480211	TTN,TTN-AS1
2	179480367	179480515	TTN
2	179481205	179481357	TTN
2	179481455	179481740	TTN
2	179481846	179481961	TTN
2	179482051	179482239	TTN
2	179482505	179482808	TTN
2	179482915	179483218	TTN
2	179483310	179483580	TTN
2	179483584	179485352	TTN,TTN-AS1
2	179485441	179485720	TTN
2	179485828	179486095	TTN
2	179486201	179486468	TTN
2	179486566	179486735	TTN
2	179487396	179487494	TTN
