chromosome	start	end	depth
1	10193	12230	0
1	12584	12627	6
1	12627	12632	7
1	12632	12636	6
1	12636	12659	7
1	12659	12676	6
1	12676	12677	5
1	12677	12680	4
1	12680	12684	5
1	12684	12702	4
1	12702	12708	3
1	12708	12711	4
1	12711	12717	3
1	12717	12755	2
1	13195	13226	4
1	13226	13241	5
1	13241	13248	4
1	13248	13270	3
1	13270	13301	2
1	13301	13312	1
1	13312	13324	2
1	13324	13327	3
1	13327	13329	4
1	13329	13365	5
1	13365	13368	6
1	13368	13374	5
1	13374	13380	6
1	13380	13387	8
1	13387	13399	7
1	13399	13402	6
1	13402	13404	5
1	13404	13406	4
1	13406	13417	5
1	13417	13422	6
1	13422	13440	7
1	13440	13455	6
1	13455	13473	4
1	13473	13477	5
1	13477	13488	6
1	13488	13489	5
1	13489	13490	6
1	13490	13496	7
1	13496	13503	6
1	13503	13548	7
1	13548	13550	6
1	13550	13564	5
1	13564	13565	3
1	13565	13578	2
1	13578	13581	1
1	13581	13600	2
1	13600	13656	1
1	13656	14517	0
1	852235	861139	0
1	852235	861139	0
1	852235	861139	0
1	861139	861155	1
1	861155	861180	2
1	861180	861181	3
1	861299	861303	33
1	861303	861304	32
1	861304	861307	34
1	861307	861309	35
1	861309	861310	36
1	861310	861311	37
1	861311	861312	38
1	861312	861313	39
1	861313	861314	40
1	861314	861319	39
1	861319	861321	41
1	861321	861322	42
1	861299	861303	33
1	861303	861304	32
1	861304	861307	34
1	861307	861309	35
1	861309	861310	36
1	861310	861311	37
1	861311	861312	38
1	861312	861313	39
1	861313	861314	40
1	861314	861319	39
1	861319	861321	41
1	861321	861322	42
1	861322	861323	44
1	861323	861324	45
1	861324	861325	43
1	861325	861326	44
1	861326	861330	45
1	861330	861332	47
1	861332	861335	46
1	861335	861336	47
1	861336	861338	48
1	861338	861340	47
1	861340	861345	50
1	861345	861347	49
1	861347	861348	50
1	861348	861349	51
1	861349	861352	52
1	861352	861354	54
1	861354	861358	55
1	861358	861359	56
1	861359	861360	55
1	861360	861361	56
1	861361	861364	55
1	861364	861366	56
1	861366	861369	54
1	861369	861372	53
1	861372	861380	54
1	861380	861382	53
1	861382	861386	52
1	861386	861387	51
1	861387	861389	50
1	861389	861392	51
1	861392	861393	50
1	861393	861394	49
1	865531	865539	18
1	865539	865541	19
1	865541	865544	20
1	865544	865546	22
1	865546	865549	24
1	865549	865551	25
1	865551	865554	26
1	865554	865556	28
1	865556	865559	29
1	865559	865561	30
1	865561	865562	31
1	865562	865563	32
1	865563	865565	33
1	865565	865567	32
1	865567	865569	33
1	865569	865570	32
1	865570	865571	31
1	865571	865572	34
1	865572	865574	35
1	865574	865578	37
1	865578	865579	36
1	865579	865580	37
1	865580	865581	38
1	865581	865583	40
1	865583	865587	41
1	865587	865588	40
1	865588	865589	41
1	865589	865590	42
1	865590	865591	41
1	865591	865592	40
1	865592	865594	39
1	865594	865597	40
1	865597	865598	42
1	865598	865599	41
1	865599	865600	42
1	865600	865602	45
1	865602	865603	44
1	865603	865605	43
1	865605	865606	42
1	865606	865608	44
1	865608	865610	46
1	865610	865613	47
1	865613	865614	48
1	865614	865615	49
1	865615	865620	50
1	865620	865621	51
1	865621	865623	50
1	865623	865628	52
1	865628	865629	53
1	865629	865630	51
1	865630	865633	52
1	865633	865635	55
1	865635	865638	56
1	865638	865639	55
1	865639	865640	58
1	865640	865641	60
1	865641	865642	61
1	865642	865646	64
1	865646	865647	63
1	865647	865648	62
1	865648	865650	63
1	865650	865651	64
1	865651	865652	65
1	865652	865653	66
1	865653	865655	68
1	865655	865656	66
1	865656	865659	67
1	865659	865660	66
1	865660	865664	68
1	865664	865665	70
1	865665	865666	68
1	865666	865668	69
1	865668	865669	70
1	865669	865671	69
1	865671	865672	70
1	865672	865674	69
1	865674	865675	70
1	865675	865676	68
1	865676	865678	69
1	865678	865680	70
1	865680	865683	69
1	865683	865685	68
1	865685	865687	69
1	865687	865688	71
1	865688	865689	70
1	865689	865691	71
1	865691	865694	73
1	865694	865695	72
1	865695	865696	71
1	865696	865698	70
1	865698	865702	69
1	865702	865705	70
1	865705	865708	71
1	865708	865711	69
1	865711	865714	68
1	865714	865715	66
1	865715	865716	64
1	865716	865717	63
1	865691	865694	73
1	865694	865695	72
1	865695	865696	71
1	865696	865698	70
1	865698	865702	69
1	865702	865705	70
1	865705	865708	71
1	865708	865711	69
1	865711	865714	68
1	865714	865715	66
1	865715	865716	64
1	865716	865717	63
1	866418	866420	51
1	866420	866421	50
1	866421	866423	49
1	866423	866425	48
1	866425	866426	49
1	866426	866431	50
1	866431	866433	52
1	866433	866435	51
1	866435	866436	53
1	866436	866437	52
1	866437	866438	51
1	866438	866439	52
1	866439	866442	53
1	866442	866444	52
1	866444	866446	53
1	866446	866447	52
1	866447	866451	51
1	866451	866453	50
1	866453	866460	51
1	866460	866461	50
1	866461	866462	49
1	866462	866466	48
1	866466	866467	49
1	866467	866468	48
1	866468	866469	49
1	866469	866470	51
1	871148	871152	48
1	871152	871153	49
1	871153	871154	48
1	871154	871155	49
1	871155	871160	48
1	871160	871161	49
1	871161	871162	51
1	871162	871163	52
1	871163	871165	54
1	871165	871166	55
1	871166	871167	56
1	871167	871171	57
1	871171	871173	55
1	871173	871175	54
1	871148	871152	48
1	871152	871153	49
1	871153	871154	48
